Team,Opponent,Win,WL,Location,Date,Scorecard,WT,BF,Runs,Wickets,HA,Region
England,Australia,England,1,Manchester,"Jun 24, 2018",ODI # 4013,0,0,208,9,1,Europe
Australia,England,England,0,Manchester,"Jun 24, 2018",ODI # 4013,1,1,205,10,0,Australasia
England,India,India,0,Nottingham,"Jul 12, 2018",ODI # 4014,0,1,268,10,1,Europe
India,England,India,1,Nottingham,"Jul 12, 2018",ODI # 4014,1,0,269,2,0,Asia
England,India,England,1,Lord's,"Jul 14, 2018",ODI # 4016,1,1,322,7,1,Europe
India,England,England,1,Lord's,"Jul 14, 2018",ODI # 4016,0,0,236,10,0,Asia
England,India,England,1,Leeds,"Jul 17, 2018",ODI # 4018,1,0,260,2,1,Europe
India,England,England,0,Leeds,"Jul 17, 2018",ODI # 4018,0,1,256,8,0,Asia
West Indies,Bangladesh,Bangladesh,0,Providence,"Jul 22, 2018",ODI # 4022,0,0,231,9,1,America
Bangladesh,West Indies,Bangladesh,1,Providence,"Jul 22, 2018",ODI # 4022,1,1,279,4,0,Asia
West Indies,Bangladesh,West Indies,1,Providence,"Jul 25, 2018",ODI # 4023,0,1,271,10,1,America
Bangladesh,West Indies,West Indies,0,Providence,"Jul 25, 2018",ODI # 4023,1,0,268,6,0,Asia
West Indies,Bangladesh,Bangladesh,0,Basseterre,"Jul 28, 2018",ODI # 4024,0,0,283,6,1,America
Bangladesh,West Indies,Bangladesh,1,Basseterre,"Jul 28, 2018",ODI # 4024,1,1,301,6,0,Asia
Sri Lanka,South Africa,South Africa,0,Dambulla,"Jul 29, 2018",ODI # 4025,1,1,193,10,1,Asia
South Africa,Sri Lanka,South Africa,1,Dambulla,"Jul 29, 2018",ODI # 4025,0,0,196,5,0,Africa
Sri Lanka,South Africa,South Africa,0,Dambulla,"Aug 1, 2018",ODI # 4027,1,1,244,8,1,Asia
South Africa,Sri Lanka,South Africa,1,Dambulla,"Aug 1, 2018",ODI # 4027,0,0,246,6,0,Africa
Sri Lanka,South Africa,South Africa,0,Pallekele,"Aug 5, 2018",ODI # 4029,1,0,285,10,1,Asia
South Africa,Sri Lanka,South Africa,1,Pallekele,"Aug 5, 2018",ODI # 4029,0,1,363,7,0,Africa
Sri Lanka,South Africa,Sri Lanka,1,Pallekele,"Aug 8, 2018",ODI # 4030,0,1,306,7,1,Asia
South Africa,Sri Lanka,Sri Lanka,0,Pallekele,"Aug 8, 2018",ODI # 4030,1,0,187,9,0,Africa
Sri Lanka,South Africa,Sri Lanka,1,Colombo (RPS),"Aug 12, 2018",ODI # 4031,1,1,299,8,1,Asia
South Africa,Sri Lanka,Sri Lanka,0,Colombo (RPS),"Aug 12, 2018",ODI # 4031,0,0,121,10,0,Africa
Bangladesh,Sri Lanka,Bangladesh,1,Dubai (DSC),"Sep 15, 2018",ODI # 4036,1,1,261,10,0,Asia
Sri Lanka,Bangladesh,Bangladesh,0,Dubai (DSC),"Sep 15, 2018",ODI # 4036,0,0,124,10,0,Asia
Afghanistan,Sri Lanka,Afghanistan,1,Abu Dhabi,"Sep 17, 2018",ODI # 4038,1,1,249,10,0,Asia
Sri Lanka,Afghanistan,Afghanistan,0,Abu Dhabi,"Sep 17, 2018",ODI # 4038,0,0,158,10,0,Asia
India,Pakistan,India,1,Dubai (DSC),"Sep 19, 2018",ODI # 4040,0,0,164,2,0,Asia
Pakistan,India,India,0,Dubai (DSC),"Sep 19, 2018",ODI # 4040,1,1,162,10,0,Asia
Afghanistan,Bangladesh,Afghanistan,1,Abu Dhabi,"Sep 20, 2018",ODI # 4041,1,1,255,7,0,Asia
Bangladesh,Afghanistan,Afghanistan,0,Abu Dhabi,"Sep 20, 2018",ODI # 4041,0,0,119,10,0,Asia
Bangladesh,India,India,0,Dubai (DSC),"Sep 21, 2018",ODI # 4042,0,1,173,10,0,Asia
India,Bangladesh,India,1,Dubai (DSC),"Sep 21, 2018",ODI # 4042,1,0,174,3,0,Asia
Afghanistan,Pakistan,Pakistan,0,Abu Dhabi,"Sep 21, 2018",ODI # 4043,1,1,257,6,0,Asia
Pakistan,Afghanistan,Pakistan,1,Abu Dhabi,"Sep 21, 2018",ODI # 4043,0,0,258,7,0,Asia
India,Pakistan,India,1,Dubai (DSC),"Sep 23, 2018",ODI # 4044,0,0,238,1,0,Asia
Pakistan,India,India,0,Dubai (DSC),"Sep 23, 2018",ODI # 4044,1,1,237,7,0,Asia
Afghanistan,Bangladesh,Bangladesh,0,Abu Dhabi,"Sep 23, 2018",ODI # 4045,0,0,246,7,0,Asia
Bangladesh,Afghanistan,Bangladesh,1,Abu Dhabi,"Sep 23, 2018",ODI # 4045,1,1,249,7,0,Asia
Afghanistan,India,tied,0,Dubai (DSC),"Sep 25, 2018",ODI # 4046,1,1,252,8,0,Asia
India,Afghanistan,tied,0,Dubai (DSC),"Sep 25, 2018",ODI # 4046,0,0,252,10,0,Asia
Bangladesh,Pakistan,Bangladesh,1,Abu Dhabi,"Sep 26, 2018",ODI # 4047,1,1,239,10,0,Asia
Pakistan,Bangladesh,Bangladesh,0,Abu Dhabi,"Sep 26, 2018",ODI # 4047,0,0,202,9,0,Asia
Bangladesh,India,India,0,Dubai (DSC),"Sep 28, 2018",ODI # 4048,0,1,222,10,0,Asia
India,Bangladesh,India,1,Dubai (DSC),"Sep 28, 2018",ODI # 4048,1,0,223,7,0,Asia
Sri Lanka,England,England,0,Dambulla,"Oct 13, 2018",ODI # 4053,1,0,140,5,1,Asia
England,Sri Lanka,England,1,Dambulla,"Oct 13, 2018",ODI # 4053,0,1,278,9,0,Europe
Sri Lanka,England,England,0,Pallekele,"Oct 17, 2018",ODI # 4054,0,1,150,9,1,Asia
England,Sri Lanka,England,1,Pallekele,"Oct 17, 2018",ODI # 4054,1,0,153,3,0,Europe
Sri Lanka,England,England,0,Pallekele,"Oct 20, 2018",ODI # 4055,0,1,273,7,1,Asia
England,Sri Lanka,England,1,Pallekele,"Oct 20, 2018",ODI # 4055,1,0,274,2,0,Europe
India,West Indies,India,1,Guwahati,"Oct 21, 2018",ODI # 4056,1,0,326,2,1,Asia
West Indies,India,India,0,Guwahati,"Oct 21, 2018",ODI # 4056,0,1,322,8,0,America
Sri Lanka,England,Sri Lanka,1,Colombo (RPS),"Oct 23, 2018",ODI # 4058,1,1,366,6,1,Asia
England,Sri Lanka,Sri Lanka,0,Colombo (RPS),"Oct 23, 2018",ODI # 4058,0,0,132,9,0,Europe
India,West Indies,tied,0,Visakhapatnam,"Oct 24, 2018",ODI # 4059,1,1,321,6,1,Asia
West Indies,India,tied,0,Visakhapatnam,"Oct 24, 2018",ODI # 4059,0,0,321,7,0,America
India,West Indies,West Indies,0,Pune,"Oct 27, 2018",ODI # 4062,1,0,240,10,1,Asia
